neutral_id,status,reason,molecular_weight_g_mol,cation_id,anion_id
libe-117865,rejected,disallowed_element,,,
libe-120478,rejected,not_closed_shell,,,
libe-120481,rejected,not_closed_shell,,,
libe-120483,rejected,not_closed_shell,,,
libe-120490,rejected,not_closed_shell,,,
libe-120565,rejected,not_closed_shell,,,
libe-120579,rejected,not_closed_shell,,,
libe-120589,rejected,not_closed_shell,,,
libe-120653,rejected,not_closed_shell,,,
libe-121229,rejected,not_closed_shell,,,
libe-121233,rejected,not_closed_shell,,,
libe-118651,rejected,not_closed_shell,,,
libe-132261,rejected,not_closed_shell,,,
libe-207181,rejected,not_closed_shell,,,
libe-115942,rejected,not_closed_shell,37.041000000000004,,
libe-115944,rejected,not_closed_shell,37.041000000000004,,
libe-116208,rejected,not_closed_shell,,,
libe-116209,rejected,not_closed_shell,,,
libe-116225,rejected,not_closed_shell,,,
libe-116231,rejected,not_closed_shell,,,
libe-116245,rejected,not_closed_shell,,,
libe-136407,rejected,disallowed_element,,,
libe-136456,rejected,disallowed_element,,,
libe-137070,rejected,disallowed_element,,,
libe-137221,rejected,disallowed_element,,,
libe-179837,rejected,disallowed_element,,,
libe-179885,rejected,disallowed_element,,,
libe-179895,rejected,disallowed_element,,,
libe-180186,rejected,disallowed_element,,,
libe-141131,rejected,not_closed_shell,,,
libe-141241,rejected,not_closed_shell,,,
libe-141303,rejected,not_closed_shell,,,
libe-141422,rejected,not_closed_shell,,,
libe-173435,rejected,disallowed_element,,,
libe-642705,rejected,not_closed_shell,,,
libe-510900,rejected,disallowed_element,,,
libe-527965,rejected,disallowed_element,,,
libe-515075,rejected,disallowed_element,,,
libe-516754,rejected,disallowed_element,,,
libe-526057,rejected,disallowed_element,,,
libe-529095,rejected,disallowed_element,,,
libe-115883,rejected,not_closed_shell,,,
libe-514825,rejected,not_closed_shell,,,
libe-117059,rejected,not_closed_shell,69.083,,
libe-117061,rejected,not_closed_shell,69.083,,
libe-117063,rejected,not_closed_shell,69.083,,
libe-117065,rejected,not_closed_shell,69.083,,
libe-117067,rejected,not_closed_shell,69.083,,
libe-117069,rejected,not_closed_shell,69.083,,
libe-117070,rejected,not_closed_shell,69.083,,
libe-117071,rejected,not_closed_shell,69.083,,
libe-117080,rejected,not_closed_shell,69.083,,
libe-117082,rejected,not_closed_shell,69.083,,
libe-117085,rejected,not_closed_shell,69.083,,
libe-117087,rejected,not_closed_shell,69.083,,
libe-117093,rejected,not_closed_shell,69.083,,
libe-117096,rejected,not_closed_shell,69.083,,
libe-117109,rejected,not_closed_shell,69.083,,
